,zipcode,investment value,predicted mean,predicted mean min,predicted mean max,profit,profit min,profit max,ROI,ROI min,ROI max
1,90067,1414845.0,11426252.907465987,-61379565.67027659,84232071.48520857,10011407.907465987,-62794410.67027659,82817226.48520857,707.5975041411593,-4438.2537076695035,5853.448715951823
2,90066,1624438.0,4832962.369717535,414574.9237714326,9251349.815663636,3208524.3697175346,-1209863.0762285674,7626911.815663636,197.5159636574332,-74.4788706142412,469.5107979291075
3,91602,1275036.0,3698939.6564796665,1184441.5883880127,6213437.72457132,2423903.6564796665,-90594.41161198728,4938401.72457132,190.10472304151932,-7.105243429360996,387.31468951239964
4,91423,1314146.0,3641353.3474018956,602716.0084542795,6679990.686349511,2327207.3474018956,-711429.9915457205,5365844.686349511,177.08894958413265,-54.136297758827446,408.3141969270927
5,91607,1087783.0,2891399.001712864,532813.6959982794,5249984.307427448,1803616.0017128638,-554969.3040017206,4162201.307427448,165.80659945162444,-51.0183836299814,382.63158253323024
6,90012,776170.0,2055693.2292123525,376982.36859197053,3734404.0898327343,1279523.2292123525,-399187.63140802947,2958234.0898327343,164.85089983023727,-51.43043810093529,381.1322377614098
7,90010,1656265.0,4105536.466804397,-12435511.642789457,20646584.57639825,2449271.466804397,-14091776.642789457,18990319.57639825,147.87920210862373,-850.8165446223555,1146.574948839603
8,91356,1292149.0,2939499.184076824,-801997.9619950978,6680996.330148746,1647350.1840768242,-2094146.9619950978,5388847.330148746,127.48918151674647,-162.066987785085,417.0453508185779
9,90034,1515853.0,3443347.0895541296,356439.9851461523,6530254.1939621065,1927494.0895541296,-1159413.0148538477,5014401.1939621065,127.15573934636997,-76.48584756264938,330.7973262553893
10,91401,880424.0,1887167.7847962594,370713.0342167446,3403622.535375774,1006743.7847962594,-509710.9657832554,2523198.535375774,114.34760806114545,-57.89380636866503,286.5890224909559
